,2017q1fphdsl,2017q1jxje,2017q1jxsl,2017q1kpje,2017q1kps,2017q1kpse,2017q1kpsl,2017q1rkse,2017q2fphdsl,2017q2jxje,2017q2jxsl,2017q2kpje,2017q2kps,2017q2kpse,2017q2kpsl,2017q2rkse,2017q3fphdsl,2017q3jxje,2017q3jxsl,2017q3kpje,2017q3kps,2017q3kpse,2017q3kpsl,2017q3rkse,2017q4fphdsl,2017q4jxje,2017q4jxsl,2017q4kpje,2017q4kps,2017q4kpse,2017q4kpsl,2017q4rkse,2018q1fphdsl,2018q1jxje,2018q1jxsl,2018q1kpje,2018q1kps,2018q1kpse,2018q1kpsl,2018q1rkse,2018q2fphdsl,2018q2jxje,2018q2jxsl,2018q2kpje,2018q2kps,2018q2kpse,2018q2kpsl,2018q2rkse,2018q3fphdsl,2018q3jxje,2018q3jxsl,2018q3kpje,2018q3kps,2018q3kpse,2018q3kpsl,2018q3rkse,2018q4fphdsl,2018q4jxje,2018q4jxsl,2018q4kpje,2018q4kps,2018q4kpse,2018q4kpsl,2018q4rkse,2019q1fphdsl,2019q1jxje,2019q1jxsl,2019q1kpje,2019q1kps,2019q1kpse,2019q1kpsl,2019q1rkse,2019q2fphdsl,2019q2jxje,2019q2jxsl,2019q2kpje,2019q2kps,2019q2kpse,2019q2kpsl,2019q2rkse,2019q3fphdsl,2019q3jxje,2019q3jxsl,2019q3kpje,2019q3kps,2019q3kpse,2019q3kpsl,2019q3rkse,2019q4fphdsl,2019q4jxje,2019q4jxsl,2019q4kpje,2019q4kps,2019q4kpse,2019q4kpsl,2019q4rkse,bsrxm,bsrxmmp,cyrs,djrq,fdbrxmp,fddbrxm,hy,hydl,hyml,hyzl,jyfw,nsrmc,scjydz,xzjd,zcdz,zczb,zjnsrsbh,yc
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1947756.94,0.03,2330617.04,24,139837.02,0.06,139837.02,0,0,0,0,0,0,0,0,117,3726095.34,0.06,6577122.75,66,723483.5,0.11,499917.78,30,1123155.21,0.017,1657591.59,17,28179.06,0.017,9085.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,3661283.79,0.017,5559828.14,56,94517.08,0.017,32275.25,063193d504f806fec4c6204385c3786b,3809855799119113090858cc459d2657,2,2016/9/27,f142cd4a439d91d96293686255cf5af2,5275e5284b40498baeda0994876f4560,房屋建筑业,房屋建筑业,建筑业,房屋建筑业,工业、民用建筑工程，市政公用工程，建筑钢结构工程，室内外装饰（在核定资质范围内经营）；房产咨询；施工机械及钢模、房屋租赁；计算机技术开发；物业管理（凭资质经营）；建材、五金交电销售。,0b25330598826390b10bc8abc1fb51e1,f2b036d0a30b1d462b7e52717a19dab9,fcca4d2c68f01f82032e2bedbf182e57,e549f238ac82cb9ec25b920c2835cda8,10800000,77725f9ec70074b8e83410f416a67f4c,0
11,72,4080745.45,0.03,4892560.6,49,293553.64,0.06,293553.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2248473.1,0.11,4111390.1,42,69893.63,0.017,0,0,0,0,0,0,0,0,0,47,2887472.29,0.017,4591730.49,46,275503.83,0.06,226416.8,79,2744414.1,0.03,4040460.86,41,68687.83,0.017,68687.83,19,615147.57,0.11,1218056.31,13,133986.19,0.11,66319.96,,,,,,,,,,,,,,,,,,,,,,,,,08157956570b94f4d1181d112abcacba,4aad087655292d4ba596b6094a606546,78,2017/8/23,d2e7757da5d7d7a4c771d1705eebfb32,aed2036ddfeffdcaaf10a9c7b3f0c174,其他未列明金属制品制造,金属制品业,制造业,其他金属制品制造,电机转子、定子半成品及电机、机座、机盖加工、冲压件、金属切削加工,c4123db7226c24e5e05991de069b380c,b2f5ffa7ca35a68911a2ef1a204fddd2,1d24db6d16c1cdd0f0aabfe7d889a0f0,b2f5ffa7ca35a68911a2ef1a204fddd2,1225000,2dbb81debcfb401ecb6575e5e162951f,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1877580.12,0.03,2742562.83,28,164553.77,0.06,164553.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3449942.5,0.017,3537763.31,36,60141.98,0.017,1492.95,0,0,0,0,0,0,0,0,84,2951195.28,0.06,5490959.05,55,604005.5,0.11,426933.78,29,1473091.01,0.11,2860832.03,29,314691.52,0.11,152651.51,,,,,,,,,984a63b2a140366db4b8d863e623aac9,65c49aaf25f11ac932be529d1a30faf5,4,2017/1/21,a786f72bb4521094a3a10b8b5938a128,32b18a693e0414be3ba7577c2a8dce06,其他食品批发,批发业,批发和零售业,食品、饮料及烟草制品批发,食用农产品、预包装食品的批发兼零售，企业管理咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,be11eb217731b74e0724109fe6eedcdd,eb0792bd283d0f798533bad0d23fd893,829b9700d7927fafe3495b38742a43e6,eb0792bd283d0f798533bad0d23fd893,50000,0f598b5a55a451168c130de8b966b80a,0
13,0,0,0,0,0,0,0,0,86,5168413.74,0.03,5529018.48,56,331741.11,0.06,331741.11,0,0,0,0,0,0,0,0,70,3372124.12,0.06,3842517.54,39,230551.05,0.06,28223.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,4713668.3,0.017,8204529.82,83,492271.79,0.06,412139.43,,,,,,,,,,,,,,,,,,,,,,,,,142f4982a447cb88541e1553988fc3cf,8e7224d4ea9e37e57b9d7ae7b0c8a1ac,2,2017/8/17,dff9ec50f6707fa94f2af6448bfb257d,bd1b299a8a40b9752ebb9dd8bba271c7,建筑装饰业,建筑装饰和其他建筑业,建筑业,建筑装饰业,室内外装饰设计、施工（涉及资质的凭资质证经营），园林景观规划设计，建筑材料、装饰材料的批发和零售。,fe958526c9cb46baf618e0881b02f5bc,cecc2a09877f5389c5aea863ae1fc5cd,829b9700d7927fafe3495b38742a43e6,cecc2a09877f5389c5aea863ae1fc5cd,500000,b0f6d52e73e6d38877ca8b1c0c7e7b55,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,182288.72,0.03,305091.64,4,5186.56,0.017,5186.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1203632,0.03,1486707.87,15,163537.87,0.11,163537.87,0,0,0,0,0,0,0,0,2ce9ae7885320004a41da3a1fccd3cfd,3473aed058f1a273a996f9c69462b1c9,9,2016/7/27,470c2d0d772a2c73563bdfe48663e56d,0824e6f8b668db236da6f3b0afe0ce96,包装装潢及其他印刷,印刷和记录媒介复制业,制造业,印刷,出版物印刷，包装装潢印刷品印刷，其他印刷品（印刷经营许可证有效期至2016年3月31日止）。,9db29a93506272c4788579f09f9b71f0,97b3e65007894a7668f021d7bd3e9ee0,fcca4d2c68f01f82032e2bedbf182e57,97b3e65007894a7668f021d7bd3e9ee0,500000,663422619e2ba7137401be05b5e2a553,0
15,0,0,0,0,0,0,0,0,152,7112477.71,0.11,8403567.5,85,252107.03,0.03,0,0,0,0,0,0,0,0,0,72,3267047.66,0.11,4390865.36,44,482995.19,0.11,123619.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,faa8637dedfff75bd0b8e7eded83ff63,c377f0457c59ae09201c7d5f41f95ad6,30,2016/6/24,9008840867af5d978897c5af49251999,8857409779578d01ffd5a04f842a3635,社会经济咨询,商务服务业,租赁和商务服务业,咨询与调查,创业投资、股权投资、投资管理、投资咨询服务。（涉及国家法律、法规规定需前置许可的除外）,1b373ee4d84619ac65079e404f73869c,0f38b8bfda06c7f7fb503cdbc7eafff3,829b9700d7927fafe3495b38742a43e6,677d28e3c0d1809f28a3a0b5a9af696c,1000000000,cbe6e8771c18d5f181ddf852a9009b5d,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,263247028.5,0.06,8990483.19,90,269714.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,389856109.1,0.017,6562717.42,66,196881.52,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,b3d99fce1050d993f588392d42ebf3a2,093c27dcdd9ab5026a89e36901f05dfc,3,2016/5/11,f005f40b1db858d793d5e0e8772f7d1c,05849615271f5aa06cf86fb3b346e828,其他专业咨询,商务服务业,租赁和商务服务业,咨询与调查,旧机动车鉴定评估，二手车信息咨询，代办车辆过户、上牌申请手续。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,6c12386c8e9bfe080d050aee4e0a19c2,6e59e2e4d4414602b8c958418a51d4ff,829b9700d7927fafe3495b38742a43e6,6e59e2e4d4414602b8c958418a51d4ff,500000,fa1bc4d3def2e5673c7ff3f82694cec2,1
17,112,126365821.1,0.06,7244192.48,73,123151.27,0.017,62.03,122,156670207.9,0.11,8728636.13,88,523718.17,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,72e0d6c6b32c91ce41091efca7e00991,593d39fd938eeae8e28b38619ac4ad22,8,2017/6/10,b27d1ea92f7ca433d0bfbde2a804bdda,0524abfed88e534e66f250f960f40243,煤炭及制品批发,批发业,批发和零售业,矿产品、建材及化工产品批发,煤炭（凭许可证经营）、焦碳、化工原料（除危险品）、塑料原料、金属材料、建材、机电设备（除小轿车）、针纺织品、农副产品销售。,52fb704e4397d9bca284b7b6195c34bd,2917cba483bcad9b66fd665e522bf5d9,5b82f2cd2fd11ecd34016dfefe15f4d4,2917cba483bcad9b66fd665e522bf5d9,2000000,208362f238dfa53b2ed9f501430d12d9,1
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,104795595.9,0.11,9557947.74,96,162485.11,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,67409230.94,0.11,5127686.59,52,153830.6,0.03,355.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,2016/3/10,a3d2de7675556553a5f08e4c88d2c228,a895e0f9e0d026c27dcad1831f54bf34,其他群众团体,群众团体、社会团体和其他成员组织,公共管理、社会保障和社会组织,群众团体,,f2eaded99e3eabbd1e4df1e374968af7,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,0b559a5c38211e5e647619645a3be514,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,275192875.4,0.06,9544828.44,96,572689.71,0.06,0,0,0,0,0,0,0,0,0,122,119345156,0.06,6779979.41,68,203399.38,0.03,466.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58088425c7f292b2a843777745bec146,a352f2b7c9f5fd7681f011fbdc382c88,10,2016/11/17,6620b4f99d297f82bbfecf01db8e5f13,f5736fb54de44f8252d3f37cacf96ee2,其他未列明批发业,批发业,批发和零售业,其他批发业,异形管配件、给水管配件销售,794c2f0caccbae9e18606aa63315344a,720100288c13a752e5aea130f3fcf69d,829b9700d7927fafe3495b38742a43e6,720100288c13a752e5aea130f3fcf69d,100000,2e9c014096b0e6cbb3fe75d74821aba8,1
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,46793882.69,0.11,3437626.83,35,103128.8,0.03,119.93,141,259752318.1,0.06,9721876.14,98,1069406.38,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a5aae8cfbdcc1fcf74dac2ac716fcad1,a3d2de7675556553a5f08e4c88d2c228,8,2016/4/25,a3d2de7675556553a5f08e4c88d2c228,25e27e23ee3080b58668dd551fc56caa,拍卖,批发业,批发和零售业,贸易经纪与代理,国家法律、法规允许范围内的拍卖业务（文物除外）（拍卖经营许可证至2011年7月30日止）,93260de0e3f164370a1fd2a748afa708,99da22e26deb04d2bb578c533647bd2a,829b9700d7927fafe3495b38742a43e6,99da22e26deb04d2bb578c533647bd2a,500000,234442472bd6f87ad3ce7166924eab8f,1
21,0,0,0,0,0,0,0,0,40,55707828.92,0.11,3890390.78,39,116711.72,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,2018/5/15,a3d2de7675556553a5f08e4c88d2c228,a895e0f9e0d026c27dcad1831f54bf34,其他群众团体,群众团体、社会团体和其他成员组织,公共管理、社会保障和社会组织,群众团体,,b06280249d76c9dbc99326c72bb6cd01,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,a3d2de7675556553a5f08e4c88d2c228,,a4ff8fd763161c7b43e087356b455bb4,1
22,72,504458607.4,0.017,4482299.54,45,493052.95,0.11,25.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b5195834dfd49c16c6d7d02326f4b7cf,a3d2de7675556553a5f08e4c88d2c228,17,2018/9/15,a3d2de7675556553a5f08e4c88d2c228,cee5221bbbba2dd7300bc4d6bde927bb,其他未列明批发业,批发业,批发和零售业,其他批发业,为运输业务提供接洽服务。企业用辅助材料采购销售。,7649891c296afda709a2cc007365ff27,669a43b74734ee6661badb901fdffcbe,e028503d098b7985a124c345ad807401,669a43b74734ee6661badb901fdffcbe,,9c07f09b7adff3f4f42933c3a0031388,1
23,0,0,0,0,0,0,0,0,153,119264746.4,0.11,8520064.62,86,937207.11,0.11,0,0,0,0,0,0,0,0,0,100,275539669.1,0.06,8288868.96,83,497332.14,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1bb425b39485859ae7ca7c14a4607945,e4b51032fd0bcd863fb28395b4b67c14,4,2016/3/12,89eefb97da4fa612ef593cdda222ae6e,4fb193f4311f724ce66c8f846b523c02,软件开发,软件和信息技术服务业,信息传输、软件和信息技术服务业,软件开发,应用软件开发服务，基础软件开发服务，教育信息咨询（除教育）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）***,80b319895ec13318cfcdb257a460adbd,eb8c63b91f85a282a492256635824de1,fcca4d2c68f01f82032e2bedbf182e57,eb8c63b91f85a282a492256635824de1,100000,1720d997924b75327a77c0174f310dce,1
