主键:纳税人识别号,纳税人名称,行业门类,行业大类,行业中类,行业,注册地址,生产经营地址,法定代表人姓名,登记开业日期,街道乡镇,经营范围,注册资本（元）,从业人数,法人手机号,财务人员姓名,财务人员手机号,2017Q1发票核定数量,2017Q1开票数,2017Q1开票金额,2017Q1开票税率,2017Q1开票税额,2017Q1入库税额,2017Q1进项金额,2017Q1进项税率,2017Q2发票核定数量,2017Q2开票数,2017Q2开票金额,2017Q2开票税率,2017Q2开票税额,2017Q2入库税额,2017Q2进项金额,2017Q2进项税率,2017Q3发票核定数量,2017Q3开票数,2017Q3开票金额,2017Q3开票税率,2017Q3开票税额,2017Q3入库税额,2017Q3进项金额,2017Q3进项税率,2017Q4发票核定数量,2017Q4开票数,2017Q4开票金额,2017Q4开票税率,2017Q4开票税额,2017Q4入库税额,2017Q4进项金额,2017Q4进项税率,2018Q1发票核定数量,2018Q1开票数,2018Q1开票金额,2018Q1开票税率,2018Q1开票税额,2018Q1入库税额,2018Q1进项金额,2018Q1进项税率,2018Q2发票核定数量,2018Q2开票数,2018Q2开票金额,2018Q2开票税率,2018Q2开票税额,2018Q2入库税额,2018Q2进项金额,2018Q2进项税率,2018Q3发票核定数量,2018Q3开票数,2018Q3开票金额,2018Q3开票税率,2018Q3开票税额,2018Q3入库税额,2018Q3进项金额,2018Q3进项税率,2018Q4发票核定数量,2018Q4开票数,2018Q4开票金额,2018Q4开票税率,2018Q4开票税额,2018Q4入库税额,2018Q4进项金额,2018Q4进项税率,2019Q1发票核定数量,2019Q1开票数,2019Q1开票金额,2019Q1开票税率,2019Q1开票税额,2019Q1入库税额,2019Q1进项金额,2019Q1进项税率,2019Q2发票核定数量,2019Q2开票数,2019Q2开票金额,2019Q2开票税率,2019Q2开票税额,2019Q2入库税额,2019Q2进项金额,2019Q2进项税率,2019Q3发票核定数量,2019Q3开票数,2019Q3开票金额,2019Q3开票税率,2019Q3开票税额,2019Q3入库税额,2019Q3进项金额,2019Q3进项税率,2019Q4发票核定数量,2019Q4开票数,2019Q4开票金额,2019Q4开票税率,2019Q4开票税额,2019Q4入库税额,2019Q4进项金额,2019Q4进项税率,异常
c45147dee729311ef5b5c3003946c48f,芜湖市联软连锁有限公司芜湖东郊路二分店,批发和零售业,零售业,医药及医疗器材专门零售,药品零售,芜湖市镜湖区左岸生活社区Ｂ１４＃楼０２,芜湖市镜湖区左岸生活社区Ｂ１４＃楼０２,王劲松,2018/3/26 0:00,芜湖市镜湖区滨江公共服务中心,中成药、化学药制剂、抗生素、生化药品零售（许可证有效期至２０１３年８月２５日），保健食品零售兼散装食品、乳制品（含婴幼儿配方乳粉）零售（许可证有效期至２０１５年３月４日）；一类、二类无需申请许可证的医疗器械产品零售，食用农产品、化妆品、日用品、洗化用品、婴幼儿及孕妇用品销售,100000,3,e77b1bd68cd5899e32d4366ef805639b,崔洁,94f9b8f32720be2245b07ce28d27686d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,91,9054682.35,0.06,543280.94,14.58,82314088.69,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,53,5221846.5,0.06,313310.79,11.32,30716352.23,0.17,87,52,5182016.78,0.11,570021.85,68.44,47103587.15,0.11,72,92,9166261.66,0.06,549975.7,76.38,53916543.4,0.17,149,97,9638377.67,0.11,1060221.54,92.97,56693122.35,0.17,1
eb160de1de89d9058fcb0b968dbbbd68,芜湖市时空盒数字物流有限公司,交通运输、仓储和邮政业,装卸搬运和运输代理业,运输代理业,货物运输代理,芜湖市镜湖区芜湖万达广场二期3号楼906,芜湖市镜湖区芜湖万达广场二期3号楼906,孙业芬,2017/10/12 0:00,芜湖市镜湖区滨江公共服务中心,国际海上运输，国内船舶代理，国际船舶代理，国际货运代理（含揽货、托运、定舱、仓储中转、集装箱拼装拆箱、结算运杂费、报关、报验、保险、相关短途运输、运输咨询）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,5000000,8,50a9edfa074f304f893e764281368481,钟玉梅,02ba7b55077458a6fd163d3f99750625,0,0,0,0,0,0,0,0,98,67,6610938.57,0.11,727203.24,54.92,38885973.69,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,39,3878534.42,0.03,116356.03,71.3,22812441.29,0.17,0,0,0,0,0,0,0,0,103,79,7878696.19,0.17,1339378.35,7.21,71623915.02,0.11,76,43,4225164.87,0.03,126754.95,20.09,70413834.77,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5ef059938ba799aaa845e1c2e8a762bd,芜湖市明腾子有限公司,批发和零售业,批发业,其他批发业,其他未列明批发业,芜湖市镜湖区沿河路沿河小区174号3-1-201,芜湖市镜湖区沿河路沿河小区174号3-1-201,薛有增,2018/7/13 0:00,芜湖市镜湖区滨江公共服务中心,学习机、通讯产品、数码产品、通讯设备、办公文体用品销售。,300000,5,1519de0e62ecb3cf8b3afc4721f92557,王秀华,a964818cd15a8991e789361dd9918b1a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,49,4870536.9,0.17,827991.27,95.8,28646902.19,0.17,0,0,0,0,0,0,0,0,115,85,8402894.59,0.17,1428492.08,64.26,49426568.13,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,38,3725513.96,0.17,633337.37,84.01,62068563.42,0.06,1
07e1cd7dca89a1678042477183b7ac3f,芜湖市趋势塑制品有限公司,批发和零售业,批发业,矿产品、建材及化工产品批发,其他化工产品批发,芜湖市五一广场商宅小区2－1号楼12、13号门面,芜湖市五一广场商宅小区2－1号楼12、13号门面,陈开荣,2018/5/21 0:00,芜湖市镜湖区滨江公共服务中心,橡胶、塑料制品、五金交电、一般劳保用品、化工产品、建材、装饰材料、钢材销售,500000,8,5017ba0432f81a026a42ca12493a3d10,叶秀华,99125c5678bb61122444e6d15ead7441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,86,8588494.69,0.06,515309.68,10.64,143138622.3,0.06,75,98,9748921.44,0.06,584935.29,16.75,88625174.08,0.11,0,0,0,0,0,0,0,0,83,50,4997507.49,0.17,849576.27,53.83,45427437.87,0.11,62,37,3683535.17,0.03,110506.06,82.17,33479892.13,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,90,8980961.33,0.03,269428.84,88.85,52826109.97,0.17,1
da4fb5c6e93e74d3df8527599fa62642,芜湖市富罳产品进出口有限公司,批发和零售业,批发业,矿产品、建材及化工产品批发,金属及金属矿批发,芜湖市东郊新村二村1号楼3-5号,芜湖市东郊新村二村1号楼3-5号,刘永君,2017/6/12 0:00,芜湖市镜湖区赭麓公共服务中心,自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外，矿产品粉碎加工（涉及前置许可的除外）。,500000,10,78b51fc67387fc576a8930c1fcac6718,蔡桂珍,61a57f4875fd5f60255f1a45e15584e0,0,0,0,0,0,0,0,0,67,81,8048481.3,0.06,482908.88,31.34,73165421.58,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,33,3265291.09,0.17,555099.49,39.18,19206239.03,0.17,0,0,0,0,0,0,0,0,70,58,5717240.33,0.11,628896.44,52.31,95272809.04,0.06,123,78,7741034.86,0.11,851513.83,97.14,45532137.83,0.17,1
4c56ff4ce4aaf9573aa5dff913df997a,芜湖市立信电子科技有限公司,科学研究和技术服务业,研究和试验发展,工程和技术研究和试验发展,工程和技术研究和试验发展,芜湖市镜湖区融汇中江广场H#楼1712,芜湖市镜湖区融汇中江广场H#楼1712,陶善云,2017/10/19 0:00,芜湖市镜湖区滨江公共服务中心,网络技术研发，网络游戏服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,10000000,3,be4cd05e53d7d6e44fc25ae3a881ef55,阎丽丽,cc1c16d6a9f95e830d5b1b820b92a0c2,46,66,6566688.64,0.17,1116337.07,24.78,59695121.31,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,63,6212065.17,0.03,186361.96,97.34,36538191.81,0.17,0,0,0,0,0,0,0,0,32,56,5562526.55,0.06,333751.59,6.47,32720520.66,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,63,6265173.75,0.06,375910.42,4.57,56955747.57,0.11,1
a0a080f42e6f13b3a2df133f073095dd,芜湖市九方力工程有限公司,建筑业,建筑安装业,电气安装,电气安装,芜湖市镜湖区联盛国际商业广场4B30,芜湖市镜湖区联盛国际商业广场4B30,方鹏,2018/7/10 0:00,芜湖市镜湖区滨江公共服务中心,电力工程设计、施工，高低压电气成套设备、电线电缆、母线桥架、电器元件、金属构件设计、销售、安装及技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,5000000,4,0a11cb65431d8571af13c0d562cb6e77,李亮,ac662d3ecde2eea08918e4edbbd361d3,74,43,4278217.17,0.03,128346.52,45.72,71290918.22,0.06,139,76,7560907.81,0.03,226827.23,15.42,68734251.1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,89,8899180.62,0.11,978909.87,34.23,80898813.01,0.11,105,91,9095253.1,0.06,545715.19,77.23,151566098.6,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,59,5810183.94,0.17,987731.27,92.6,52812200.87,0.11,0,0,0,0,0,0,0,0,1
202cb962ac59075b964b07152d234b70,芜湖市迪摩管理有限公司,租赁和商务服务业,商务服务业,企业管理服务,投资与资产管理,芜湖市镜湖区摩根100写字楼20-02-03,芜湖市镜湖区摩根100写字楼20-02-03,李亮,2018/11/7 0:00,芜湖市镜湖区滨江公共服务中心,资产管理，投资管理，投资咨询（证券、期货投资咨询除外），企业管理咨询，信息技术，计算机、通讯科技领域内的技术开发、技术转让、技术咨询、技术服务（涉及前置许可的除外），网络工程施工、计算机系统集成，计算机及配件、通讯设备、办公用品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,5000000,4,acfbc66a6c834f4a41145ad78e5f1745,蔡红梅,2fb0ed77d49a46aaf328833ebfa2a1f3,122,95,9417609.12,0.03,282528.27,53.91,156945175.7,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,53,5243019.44,0.03,157290.58,11.46,87380474.85,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
c8ffe9a587b126f152ed3d89a146b445,芜湖市惠派国际公司告传媒有限公司,租赁和商务服务业,商务服务业,广告业,广告业,芜湖市镜湖区镜湖世纪城新都会A#办公楼1407室,芜湖市镜湖区镜湖世纪城新都会A#办公楼1407室,董利群,2018/3/31 0:00,芜湖市镜湖区滨江公共服务中心,广告设计发布，标识系统设计，企业形象设计，三维动漫设计，装饰装潢设计，包装设计，摄影、摄像服务。,1000000,4,f44e890ccdaa9a7829f975c7f6e8a80a,罗梅,5c540a0639628a006bb3e1b297eb726a,53,69,6898935.72,0.06,413936.14,31.71,114973453.1,0.06,0,0,0,0,0,0,0,0,97,49,4835992.17,0.06,290159.53,86.72,80575781.95,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,83,8230462.34,0.11,905350.86,92.47,137148686.7,0.06,46,92,9120902.16,0.11,1003299.24,70.17,53649937.71,0.17,0,0,0,0,0,0,0,0,134,86,8586858.67,0.03,257605.76,77.81,78055920.81,0.11,0,0,0,0,0,0,0,0,1
3def184ad8f4755ff269862ea77393dd,芜湖市济南亿次元画艺术有限公司,批发和零售业,零售业,货摊、无店铺及其他零售业,其他未列明零售业,芜湖市杰成商业街２幢１５号２层,芜湖市杰成商业街2幢15号2层,路思良,2017/11/6 0:00,芜湖市镜湖区滨江公共服务中心,当代书画名家原创作品销售，油画、国画、水彩画、书法、版画定制，室内壁画、室外墙画制作，企业形象策划，艺术设计，展览展示服务（涉及前置许可的除外），文化用品批发。,30000,10,53c45cd06062da9287aae4a93178621d,王宇,2b61c04a5a110b98e7aac18d09002b6d,117,64,6375237.59,0.17,1083790.39,97.03,106227007,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,92,9143206.64,0.11,1005752.73,53.33,152371962.5,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ec5decca5ed3d6b8079e2e7e7bacc9f2,芜湖市艾提科信科技有限公司,批发和零售业,批发业,机械设备、五金产品及电子产品批发,电气设备批发,芜湖市镜湖区笆斗新村2-1-401,芜湖市镜湖区笆斗新村2-1-401,李怀保,2017/3/21 0:00,芜湖市镜湖区大砻坊公共服务中心,电子监控、楼宇对讲系统、计算机网络工程服务；电子产品、五金制品批零。,500000,5,45e5649b5c49a4d70cf25565401647d7,戴波,fc73b088debfc0668afafc5e8683ea56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,44,4326857.82,0.06,259611.47,40.76,72102974.54,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,86,8529733.86,0.06,511784.03,83.68,142138987.4,0.06,0,0,0,0,0,0,0,0,1
76dc611d6ebaafc66cc0879c71b5db5c,芜湖市恒聪百汇械设备有限公司机床分公司,批发和零售业,零售业,货摊、无店铺及其他零售业,其他未列明零售业,芜湖市神山口公园新村,芜湖市神山口公园新村,朱艳,2017/7/5 0:00,芜湖市镜湖区赭麓公共服务中心,通用机械、机床配件、机电设备、工具量具、生铁、钢材、五金、起重设备、建材、标准件、轴承、油漆、镀锌管、PVC管材、橡胶件销售。,100000,6,5eb3b70405f6df61dc2cb6dca6c6bcd6,李萍,afa03878ef49b6a8c495c45745b07a45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,63,6206256.8,0.03,186187.7,47.58,103424396.4,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,95,9408327.54,0.17,1599415.68,22.88,156799104.4,0.06,1
